type,precision,recall,f1-score,support,mis_from_top5,mis_to_top5
47356,0.0,0.0,0.0,0,"[('name', 1)]",[]
activities,0.0,0.0,0.0,0,"[('description', 1)]",[]
address,0.46153846153846156,0.8571428571428571,0.6,7,"[('city', 2), ('location', 2), ('name', 1), ('type', 1), ('county', 1)]","[('location', 1)]"
age,0.575,0.4791666666666667,0.5227272727272727,48,"[('rank', 12), ('position', 3), ('result', 1), ('day', 1)]","[('weight', 23), ('grades', 2)]"
album,0.75,0.3333333333333333,0.46153846153846156,9,"[('name', 1)]","[('artist', 4), ('name', 2)]"
apparatus,0.0,0.0,0.0,0,"[('description', 1)]",[]
application,0.0,0.0,0.0,0,"[('description', 1)]",[]
area,0.0,0.0,0.0,3,[],"[('weight', 1), ('route', 1), ('location', 1)]"
artist,0.4666666666666667,0.4375,0.45161290322580644,16,"[('album', 4), ('name', 2), ('type', 1), ('origin', 1)]","[('name', 9)]"
as,0.0,0.0,0.0,0,"[('code', 2)]",[]
available,0.0,0.0,0.0,0,"[('status', 1)]",[]
away,0.0,0.0,0.0,0,"[('location', 1)]",[]
b,0.0,0.0,0.0,0,"[('location', 1), ('class', 1)]",[]
brand,0.0,0.0,0.0,1,"[('description', 1)]","[('code', 1)]"
c,0.0,0.0,0.0,0,"[('category', 1)]",[]
capacity,0.0,0.0,0.0,2,"[('description', 1)]","[('weight', 2)]"
category,0.0,0.0,0.0,24,"[('gender', 2), ('location', 1), ('description', 1)]","[('type', 9), ('name', 4), ('weight', 2), ('description', 1), ('played', 1)]"
chemicalName,0.0,0.0,0.0,0,"[('name', 1)]",[]
city,0.8333333333333334,0.10204081632653061,0.18181818181818182,49,"[('location', 1)]","[('name', 19), ('location', 16), ('state', 2), ('address', 2), ('country', 1)]"
class,0.0,0.0,0.0,8,"[('description', 2), ('day', 1), ('name', 1)]","[('name', 2), ('weight', 2), ('b', 1), ('code', 1), ('command', 1)]"
classification,0.0,0.0,0.0,0,"[('name', 1)]",[]
club,0.5,0.09090909090909091,0.15384615384615385,11,"[('city', 1)]","[('team', 3), ('code', 3), ('location', 2), ('name', 2)]"
code,0.18518518518518517,0.7142857142857143,0.2941176470588235,14,"[('symbol', 9), ('rank', 7), ('type', 5), ('name', 3), ('description', 3)]","[('as', 2), ('fb', 1), ('weight', 1)]"
command,0.0,0.0,0.0,1,"[('description', 2), ('class', 1)]","[('map', 1)]"
company,0.6428571428571429,0.5625,0.6000000000000001,16,"[('publisher', 2), ('description', 2), ('name', 1)]","[('name', 6), ('code', 1)]"
conjugate,0.0,0.0,0.0,0,"[('description', 1)]",[]
contentLength,0.0,0.0,0.0,0,"[('name', 1)]",[]
continent,0.0,0.0,0.0,0,"[('region', 1)]",[]
contractors,0.0,0.0,0.0,0,"[('industry', 1)]",[]
cookies,0.0,0.0,0.0,0,"[('name', 1)]",[]
core,0.0,0.0,0.0,0,"[('category', 1)]",[]
country,0.375,0.6666666666666666,0.4800000000000001,9,"[('team', 5), ('location', 2), ('region', 1), ('city', 1), ('origin', 1)]","[('rank', 1), ('eri', 1), ('type', 1)]"
county,0.0,0.0,0.0,4,[],"[('name', 3), ('address', 1)]"
date,0.0,0.0,0.0,0,"[('year', 2), ('day', 1), ('range', 1), ('name', 1)]",[]
