type,precision,recall,f1-score,support,mis_from_top5,mis_to_top5
???,0.0,0.0,0.0,0.0,"[('description', 10), ('type', 5), ('name', 5), ('language', 1), ('location', 1)]",[]
address,0.75,1.0,0.8571428571428571,3.0,"[('type', 1)]",[]
age,0.6896551724137931,0.6896551724137931,0.6896551724137931,29.0,"[('rank', 5), ('result', 1), ('position', 1), ('region', 1), ('grades', 1)]","[('size', 6), ('description', 1), ('timeframe', 1), ('duration', 1)]"
album,0.0,0.0,0.0,0.0,"[('product', 1)]",[]
area,0.0,0.0,0.0,6.0,[],"[('location', 4), ('rank', 1), ('route', 1)]"
article,0.0,0.0,0.0,0.0,"[('notes', 1)]",[]
artist,0.3125,0.8333333333333334,0.45454545454545453,6.0,"[('name', 9), ('jockey', 1), ('credit', 1)]","[('name', 1)]"
at,0.0,0.0,0.0,0.0,"[('type', 1)]",[]
brand,0.0,0.0,0.0,1.0,[],"[('mpn', 1)]"
capacity,0.0,0.0,0.0,3.0,[],"[('weight', 2), ('rank', 1)]"
category,0.14285714285714285,0.15789473684210525,0.15,19.0,"[('type', 5), ('name', 3), ('service', 2), ('product', 2), ('industry', 2)]","[('description', 7), ('name', 2), ('status', 1), ('nature', 1), ('company', 1)]"
city,0.14285714285714285,0.1,0.11764705882352941,10.0,"[('team', 4), ('location', 1), ('state', 1)]","[('location', 8), ('state', 1)]"
class,0.0,0.0,0.0,5.0,[],"[('rank', 3), ('team', 2)]"
classification,0.0,0.0,0.0,1.0,[],"[('category', 1)]"
club,0.0,0.0,0.0,3.0,[],"[('team', 3)]"
code,0.6,0.75,0.6666666666666666,4.0,"[('symbol', 1), ('rank', 1)]","[('year', 1)]"
company,0.5714285714285714,1.0,0.7272727272727273,4.0,"[('name', 2), ('category', 1)]",[]
core,0.0,0.0,0.0,0.0,"[('category', 1)]",[]
country,0.4444444444444444,0.6666666666666666,0.5333333333333333,6.0,"[('team', 3), ('origin', 1), ('language', 1)]","[('location', 1), ('state', 1)]"
county,1.0,0.25,0.4,4.0,[],"[('state', 2), ('???', 1)]"
credit,0.0,0.0,0.0,1.0,[],"[('artist', 1)]"
date,0.0,0.0,0.0,0.0,"[('type', 1), ('name', 1)]",[]
day,0.8333333333333334,0.8333333333333334,0.8333333333333334,6.0,"[('order', 1)]","[('description', 1)]"
depth,0.0,0.0,0.0,2.0,[],"[('weight', 2)]"
description,0.48333333333333334,0.5,0.4915254237288136,58.0,"[('category', 7), ('rank', 5), ('type', 3), ('location', 3), ('position', 3)]","[('???', 10), ('product', 4), ('notes', 2), ('status', 2), ('siteType', 2)]"
